Date,Target,Open,Close,Max,Min
2002-02-21,1,0.1878,1.6920,2.7726,0.1878
2002-02-22,1,0.0369,0.2436,0.8171,-0.1257
2002-02-25,1,0.0295,3.0139,3.2069,0.0295
2002-02-26,0,-0.0215,-0.1002,0.5351,-1.0500
2002-02-27,1,0.1002,1.7604,2.0344,0.1002
2002-02-28,0,0.0281,-1.2675,0.0633,-1.2675
2002-03-01,1,0.0997,2.1850,2.2687,-0.3927
2002-03-04,1,0.2089,0.8885,0.9092,-1.7087
2002-03-05,0,-0.1106,-3.2304,0.0760,-3.2304
2002-03-06,0,-0.0286,-1.2352,-0.0286,-2.3689
2002-03-07,0,-0.0217,-0.8199,1.2352,-1.4484
2002-03-08,1,0.4144,1.7048,1.7048,0.2983
2002-03-11,0,-0.0215,-1.9236,0.5001,-2.6784
2002-03-12,1,0.1532,3.4799,3.7053,0.1022
2002-03-13,1,0.0705,0.4433,1.1986,-0.5728
2002-03-14,0,-0.0281,-0.8956,0.6508,-1.5494
2002-03-15,1,0.0212,1.7415,1.7763,-0.1985
2002-03-18,0,0.0070,-0.8389,0.9009,-1.0356
2002-03-19,0,0.1473,-0.8955,0.5949,-1.2432
2002-03-20,0,0.0354,-0.1985,0.2829,-1.5922
2002-03-21,0,-0.0284,-2.6829,-0.0284,-3.0847
2002-03-22,0,0.0437,-2.9970,0.0656,-3.2151
2002-03-25,0,0.3524,-0.2557,0.8825,-0.9738
2002-03-26,1,0.2332,2.1753,2.1753,0.2332
2002-03-27,0,-0.0074,-1.0743,0.0663,-1.0743
2002-03-28,0,0.0223,-1.2744,0.5423,-1.4934
2002-04-01,1,-0.0151,1.5867,1.8241,-1.2144
2002-04-02,0,0.1113,-1.6622,0.5037,-1.6622
2002-04-03,0,0.2639,-1.2154,0.7522,-1.3989
2002-04-04,1,0.0382,2.0799,2.1547,-0.3368
2002-04-05,0,0.0150,-0.6307,0.6342,-0.9551
2002-04-08,0,-0.2111,-0.8776,-0.2111,-1.2278
2002-04-09,1,0.0380,0.2656,0.6287,-0.0988
2002-04-10,1,-0.0910,1.6610,1.8769,-0.0986
2002-04-11,0,0.0224,-0.0373,1.0603,-0.2313
2002-04-12,1,0.0522,2.5036,2.5981,0.0522
2002-04-15,0,0.1526,-2.0498,0.5150,-2.3025
2002-04-16,1,0.0297,1.1146,1.6271,0.0297
2002-04-17,1,0.0734,0.7969,1.8113,0.0734
2002-04-18,0,-0.0218,-1.1646,-0.0218,-2.1047
2002-04-19,0,-0.0368,-0.7024,0.4264,-0.9252
2002-04-22,0,0.0445,-1.9025,0.0519,-3.1811
2002-04-23,0,0.0000,-0.2726,0.5881,-1.1255
2002-04-24,1,-0.0455,1.4528,1.5500,-0.0910
2002-04-25,0,0.0224,-0.8104,0.0224,-2.0232
2002-04-26,0,0.0000,-1.4953,0.7057,-1.7940
2002-04-29,1,0.0000,0.1070,0.5035,-0.3371
2002-04-30,0,0.0458,-0.0382,1.3431,-0.1912
2002-05-02,0,0.0229,-4.2703,0.0382,-4.4938
2002-05-03,1,0.1514,0.5726,1.1183,-0.8571
2002-05-06,0,-0.1270,-1.4377,-0.1190,-2.7170
2002-05-07,0,0.0241,-0.7105,1.6041,-1.1246
2002-05-08,1,0.0891,2.2037,2.5755,0.0891
2002-05-09,0,-0.1190,-4.1674,-0.1110,-4.3742
2002-05-10,1,0.0330,0.2311,0.6425,-1.3142
2002-05-13,0,0.1401,-1.0608,0.6737,-1.5536
2002-05-14,1,-0.0250,1.6690,2.6719,-0.0250
2002-05-15,1,0.0246,1.1892,2.1402,-0.7402
2002-05-16,1,0.3718,2.4791,2.7237,0.3718
2002-05-17,1,0.0395,0.3076,0.6221,-0.7691
2002-05-20,0,0.0079,-0.2444,0.5575,-0.7350
2002-05-21,1,0.0474,0.2602,0.8333,-0.3242
2002-05-22,0,-0.0315,-2.6568,1.1274,-2.7863
2002-05-23,1,0.0970,1.5086,1.5484,-1.0076
2002-05-24,1,-0.0956,0.1433,1.0537,-0.8880
2002-05-27,1,0.0318,0.9813,1.0601,-0.3665
2002-05-28,1,0.0394,0.2360,1.2755,0.0394
2002-05-29,1,0.0000,1.9991,2.1376,-0.0629
2002-05-31,0,0.0539,-0.9595,0.2154,-0.9595
2002-06-03,0,-0.0156,-1.5831,0.4500,-1.7254
2002-06-04,0,-0.1739,-0.4672,-0.1344,-1.3200
2002-06-05,0,-0.1589,-0.0794,0.8456,-0.2066
2002-06-06,0,0.0079,-3.8624,0.0397,-3.8624
2002-06-07,1,-0.5132,1.3937,1.6133,-1.3130
2002-06-10,1,0.1871,2.5481,2.5481,0.1708
2002-06-11,0,0.0714,-3.1442,0.6802,-3.4723
2002-06-12,0,0.0900,-0.6326,1.5441,-1.2527
2002-06-13,0,0.3866,-1.4194,1.4727,-1.4194
2002-06-14,0,0.1921,-2.2232,0.1921,-3.0644
2002-06-17,1,0.0513,2.0139,2.1646,0.0513
2002-06-18,0,0.0419,-0.9765,1.4884,-1.0781
2002-06-19,0,0.0085,-2.8139,0.6745,-2.8836
2002-06-20,0,0.1304,-5.2150,0.9526,-5.3526
2002-06-21,0,0.0733,-4.7975,0.9216,-5.7638
2002-06-24,1,0.3840,3.4129,3.9228,-1.4629
2002-06-25,0,0.1300,-0.4938,1.9695,-1.5172
2002-06-26,0,-0.2806,-0.1402,-0.1121,-2.6118
2002-06-27,1,-0.0094,2.9674,2.9674,-0.0094
2002-06-28,1,0.0454,1.1376,2.3157,0.0454
2002-07-01,0,-0.0090,-2.2424,0.3048,-2.6011
2002-07-02,0,-0.0092,-0.4232,0.1468,-1.6757
2002-07-03,0,0.0737,-1.9552,0.2026,-3.0518
2002-07-04,1,0.2348,0.1785,0.7960,-0.3957
2002-07-05,0,0.0751,-1.2371,0.1219,-2.1822
2002-07-08,1,0.0000,1.5370,1.7333,-0.1712
2002-07-10,0,0.0281,-1.2334,1.5229,-1.3945
2002-07-11,1,-0.1043,2.3407,2.3777,-0.8467
2002-07-12,1,0.0463,1.4789,1.4880,-1.0138
2002-07-15,0,-0.0091,-3.0928,0.0182,-4.5995
2002-07-16,0,0.1222,-0.5186,1.0292,-1.0494
2002-07-17,1,0.1039,1.6594,2.2065,0.1039
2002-07-18,1,0.0000,0.5378,1.4767,-0.4193
2002-07-19,0,0.0000,-2.1500,0.0000,-2.5097
2002-07-22,0,-0.1418,-6.7523,-0.1418,-6.8838
2002-07-23,0,0.0808,-1.4869,1.9025,-2.9651
2002-07-24,1,-0.0719,1.9408,2.3024,-3.3703
2002-07-25,0,0.1006,-2.7651,0.1006,-4.6448
2002-07-26,0,0.0621,-4.7565,1.1520,-5.4314
2002-07-29,1,0.3682,0.2492,4.8289,0.2492
2002-07-30,1,0.0757,1.0978,3.9574,-0.5644
2002-07-31,1,0.0428,4.4079,5.7610,0.0214
2002-08-01,0,0.1944,-0.0307,1.0292,-2.3421
2002-08-02,1,0.0819,0.9382,1.8576,-0.2257
2002-08-05,0,-0.0406,-3.9546,-0.0406,-4.1448
2002-08-06,1,0.0211,2.9651,3.3743,0.0106
2002-08-07,1,0.1127,1.1720,1.8083,-1.0926
2002-08-08,1,0.4145,4.4196,5.4227,0.4145
2002-08-09,0,-0.0097,-3.2512,-0.0097,-3.4015
2002-08-12,0,0.2201,-2.6587,0.2301,-3.0399
2002-08-13,0,0.0000,-2.9217,1.2062,-2.9217
2002-08-14,0,0.1798,-1.0752,1.5028,-4.6268
2002-08-15,0,0.3206,-1.7273,1.3818,-1.9672
2002-08-16,1,0.3262,3.6671,3.8035,0.3262
2002-08-19,0,-0.1471,-1.1508,1.3658,-1.2890
2002-08-20,0,0.4027,-1.6489,1.4234,-1.7029
2002-08-21,1,0.0755,1.8716,2.4737,0.0755
2002-08-22,1,0.0318,2.7691,2.7691,-0.2759
2002-08-23,0,0.0721,-0.2787,0.5960,-1.1297
2002-08-26,1,0.1446,4.2689,4.2887,0.1343
2002-08-27,1,0.1979,2.6772,2.8410,0.1979
2002-08-28,1,0.1060,0.0771,0.6151,-1.3688
2002-08-29,1,-0.2798,0.7199,1.3302,-1.9947
2002-08-30,0,0.0956,-0.7007,1.4151,-0.7007
2002-09-02,0,0.0096,-0.0385,0.9109,-0.6765
2002-09-03,0,-0.1253,-2.3595,-0.0578,-3.0624
2002-09-04,0,0.3054,-1.3808,0.3742,-2.1440
2002-09-05,0,-0.0400,-2.7791,-0.0400,-2.9232
2002-09-06,0,0.1644,-0.0617,1.6221,-0.8262
2002-09-09,1,0.0823,2.4098,2.4198,-0.0103
2002-09-10,1,0.0803,0.0603,0.9797,-1.1417
2002-09-11,1,0.0703,2.2044,2.8505,0.0703
2002-09-12,0,0.0000,-0.0884,0.0589,-1.4841
2002-09-13,1,-0.1672,0.0786,0.4512,-0.8589
2002-09-16,0,-0.0983,-3.4983,-0.0884,-3.5898
2002-09-17,0,0.2438,-1.8583,1.1328,-2.2424
2002-09-18,0,-0.2490,-1.5140,-0.1244,-2.6355
2002-09-19,0,0.0736,-1.4091,1.2650,-1.6121
2002-09-20,1,0.0320,2.2473,2.7987,0.0320
2002-09-23,0,-0.1044,-3.4063,-0.1044,-4.7867
2002-09-24,0,-0.2053,-1.2601,0.8277,-2.1274
2002-09-25,1,0.6429,0.8707,2.2589,0.6429
2002-09-26,0,0.2489,-0.3148,1.6977,-0.6305
2002-09-27,0,0.0109,-5.3934,0.0326,-5.5427
2002-09-30,0,0.0229,-1.0727,0.0459,-4.2659
2002-10-01,1,0.2201,4.2569,4.5122,0.1622
2002-10-02,0,0.1444,-1.9980,1.4782,-2.1001
2002-10-03,1,0.3622,3.5639,3.8915,-0.1475
2002-10-04,1,0.1203,1.3044,1.9395,-0.5265
2002-10-07,0,0.0864,-4.3819,0.3019,-4.6304
2002-10-08,0,0.0789,-0.1807,0.5177,-1.9597
2002-10-09,0,-0.1018,-1.5033,4.8968,-2.7851
2002-10-10,1,-0.0804,1.7178,2.4595,-0.0918
2002-10-11,0,-0.0226,-0.1241,1.9657,-0.3842
2002-10-14,0,-0.0226,-4.6697,-0.0226,-4.9185
2002-10-15,1,0.0118,0.6605,2.0032,-0.0592
2002-10-16,0,0.0353,-1.6116,0.0705,-3.3711
2002-10-17,1,0.3101,6.1503,6.3523,0.3101
2002-10-18,1,0.0000,1.3390,1.9908,-0.3263
